iter	Passed	Remaining
325	4392	9081
326	4405	9067
327	4418	9051
328	4429	9034
329	4441	9017
330	4453	9002
331	4465	8985
332	4478	8969
333	4493	8960
334	4508	8949
335	4521	8935
336	4533	8919
337	4547	8905
338	4559	8890
339	4572	8875
340	4584	8859
341	4595	8842
342	4611	8832
343	4623	8817
344	4636	8802
345	4649	8788
346	4662	8773
347	4675	8759
348	4687	8744
349	4700	8729
350	4714	8716
351	4726	8701
352	4739	8686
353	4751	8671
354	4766	8659
355	4780	8647
356	4798	8643
357	4811	8628
358	4824	8614
359	4837	8599
360	4850	8586
361	4864	8573
362	4877	8559
363	4890	8545
364	4906	8535
365	4922	8526
366	4936	8515
367	4949	8500
368	4962	8486
369	4976	8473
370	4988	8457
371	5002	8445
372	5016	8432
373	5029	8418
374	5042	8404
375	5056	8391
376	5070	8379
377	5083	8364
378	5095	8349
379	5109	8336
380	5122	8321
381	5134	8306
382	5147	8292
383	5161	8279
384	5174	8266
385	5186	8249
386	5197	8233
387	5209	8217
388	5221	8201
389	5233	8184
390	5246	8171
391	5259	8156
392	5271	8141
393	5282	8125
394	5295	8110
395	5307	8095
396	5321	8082
397	5332	8065
398	5345	8051
399	5356	8035
400	5368	8018
401	5380	8003
402	5392	7988
403	5404	7973
404	5417	7959
405	5429	7943
406	5442	7929
407	5455	7915
408	5468	7901
409	5480	7886
410	5493	7872
411	5506	7859
412	5519	7844
413	5532	7831
414	5544	7815
415	5557	7801
416	5572	7791
417	5586	7778
418	5599	7764
419	5611	7749
420	5624	7735
421	5637	7721
422	5650	7707
423	5663	7694
424	5675	7679
425	5688	7665
426	5701	7651
427	5713	7636
428	5728	7624
429	5739	7607
430	5751	7593
431	5766	7582
432	5780	7569
433	5794	7556
434	5808	7544
435	5821	7530
436	5833	7515
437	5848	7503
438	5862	7491
439	5876	7479
440	5889	7464
441	5904	7454
442	5917	7440
443	5929	7425
444	5944	7413
445	5956	7399
446	5968	7384
447	5983	7372
448	5995	7357
449	6007	7342
450	6019	7327
451	6031	7312
452	6042	7296
453	6055	7282
454	6066	7266
455	6078	7251
456	6092	7238
457	6104	7224
458	6117	7210
459	6128	7193
460	6142	7182
461	6155	7167
462	6167	7153
463	6178	7136
464	6190	7122
465	6202	7107
466	6214	7093
467	6225	7077
468	6237	7061
469	6249	7046
470	6261	7032
471	6272	7016
472	6285	7002
473	6297	6988
474	6309	6973
475	6324	6961
476	6335	6946
477	6347	6931
478	6359	6917
479	6370	6901
480	6382	6887
481	6396	6874
482	6409	6860
483	6421	6845
484	6435	6833
485	6448	6820
486	6463	6808
487	6477	6795
488	6490	6782
489	6505	6771
490	6518	6757
491	6530	6743
492	6544	6730
493	6557	6716
494	6571	6704
495	6583	6689
496	6596	6676
497	6609	6662
498	6622	6648
499	6633	6633
500	6645	6618
501	6658	6605
502	6670	6591
503	6681	6575
504	6693	6561
505	6706	6547
506	6719	6534
507	6732	6520
508	6744	6505
509	6756	6491
510	6769	6478
511	6783	6465
512	6795	6451
513	6809	6438
514	6822	6424
515	6834	6410
516	6845	6395
517	6858	6381
518	6870	6367
519	6880	6351
520	6892	6336
521	6905	6323
522	6921	6313
523	6935	6300
524	6948	6286
525	6961	6273
526	6973	6259
527	6986	6245
528	6999	6232
529	7012	6218
530	7024	6204
531	7048	6200
532	7060	6186
533	7073	6172
534	7085	6158
535	7098	6144
536	7110	6130
537	7122	6115
538	7135	6102
539	7148	6089
540	7162	6077
541	7177	6065
542	7192	6053
543	7206	6040
544	7218	6026
545	7231	6012
546	7244	5999
547	7258	5986
548	7270	5972
549	7283	5959
550	7296	5946
551	7312	5934
552	7326	5922
553	7339	5908
554	7351	5894
555	7363	5880
556	7376	5866
557	7388	5852
558	7401	5838
559	7412	5824
560	7426	5811
561	7438	5796
562	7450	5782
563	7462	5768
564	7475	5755
565	7487	5740
566	7500	5728
567	7512	5713
568	7524	5699
569	7537	5686
570	7550	5672
571	7562	5658
572	7574	5644
573	7587	5631
574	7600	5617
575	7611	5602
576	7623	5588
577	7636	5575
578	7649	5561
579	7662	5548
580	7675	5535
581	7687	5521
582	7700	5507
583	7713	5494
584	7728	5482
585	7740	5468
586	7757	5457
587	7771	5445
588	7786	5433
589	7801	5421
590	7816	5409
591	7830	5396
592	7843	5383
593	7855	5369
594	7868	5355
595	7882	5342
596	7904	5335
597	7918	5322
598	7931	5309
599	7944	5296
600	7962	5286
601	7977	5274
602	7994	5263
603	8007	5249
604	8020	5236
605	8037	5225
606	8055	5215
607	8071	5203
608	8085	5191
609	8100	5179
610	8118	5168
611	8131	5155
612	8147	5143
613	8161	5130
614	8174	5117
615	8188	5104
616	8201	5091
617	8214	5077
618	8226	5063
619	8239	5050
620	8253	5036
621	8264	5022
622	8278	5009
623	8292	4996
624	8306	4984
625	8320	4970
626	8333	4957
627	8347	4944
628	8361	4931
629	8374	4918
630	8388	4905
631	8403	4893
632	8417	4880
633	8431	4867
634	8444	4853
635	8457	4840
636	8469	4826
637	8483	4813
638	8498	4800
639	8511	4787
640	8525	4774
641	8537	4760
642	8551	4747
643	8565	4734
644	8579	4721
645	8593	4709
646	8606	4695
647	8619	4682
648	8633	4669
649	8646	4656
650	8659	4642
651	8671	4628
652	8683	4614
653	8696	4600
654	8708	4587
655	8722	4573
656	8734	4559
657	8746	4545
658	8761	4533
659	8779	4522
660	8792	4509
661	8805	4495
662	8820	4483
663	8833	4469
664	8845	4456
665	8858	4442
666	8872	4429
667	8886	4416
668	8899	4403
669	8916	4391
670	8931	4379
671	8944	4365
672	8958	4352
673	8973	4340
674	8987	4327
675	9002	4314
676	9015	4301
677	9030	4288
678	9043	4275
679	9057	4262
680	9072	4249
681	9085	4236
682	9098	4222
683	9111	4209
684	9125	4196
685	9138	4182
686	9151	4169
687	9163	4155
688	9175	4141
689	9188	4128
690	9202	4114
691	9216	4102
692	9230	4089
693	9242	4075
694	9256	4062
695	9270	4049
696	9284	4035
697	9299	4023
698	9312	4009
699	9325	3996
700	9339	3983
701	9350	3969
702	9365	3956
703	9381	3944
704	9394	3931
705	9408	3917
706	9422	3904
707	9437	3892
708	9522	3908
709	9541	3897
710	9555	3884
711	9569	3870
712	9582	3857
713	9596	3844
714	9610	3830
715	9626	3818
716	9639	3804
717	9652	3791
718	9678	3782
719	9693	3769
720	9707	3756
721	9720	3742
722	9734	3729
723	9748	3716
724	9763	3703
725	9779	3690
726	9793	3677
727	9807	3664
728	9820	3650
729	9832	3636
730	9847	3623
731	9859	3609
732	9872	3596
733	9885	3582
734	9899	3569
735	9913	3555
736	9926	3542
737	9939	3528
738	9951	3514
739	9963	3500
740	9976	3487
741	9990	3473
742	10002	3459
743	10018	3447
744	10031	3433
745	10044	3419
746	10056	3406
747	10068	3392
748	10080	3378
749	10095	3365
750	10118	3354
751	10134	3342
752	10148	3328
753	10166	3316
754	10186	3305
755	10200	3292
756	10215	3279
757	10230	3266
758	10245	3253
759	10259	3239
760	10274	3226
761	10288	3213
762	10304	3200
763	10319	3187
764	10333	3174
765	10348	3161
766	10361	3147
767	10376	3134
768	10390	3121
769	10406	3108
770	10420	3095
771	10435	3081
772	10450	3068
773	10466	3055
774	10479	3042
775	10494	3029
776	10507	3015
777	10523	3002
778	10536	2989
779	10549	2975
780	10562	2961
781	10574	2947
782	10588	2934
783	10601	2920
784	10615	2907
785	10628	2893
786	10643	2880
787	10655	2866
788	10667	2852
789	10680	2839
790	10693	2825
791	10707	2812
792	10722	2798
793	10736	2785
794	10750	2772
795	10763	2758
796	10777	2745
797	10790	2731
798	10805	2718
799	10819	2704
800	10838	2692
801	10852	2679
802	10868	2666
803	10882	2652
804	10895	2639
805	10910	2626
806	10924	2612
807	10937	2599
808	10950	2585
809	10965	2572
810	10979	2558
811	10992	2545
812	11005	2531
813	11020	2518
814	11035	2504
815	11048	2491
816	11061	2477
817	11074	2464
818	11089	2450
819	11104	2437
820	11118	2424
821	11133	2410
822	11146	2397
823	11160	2383
824	11172	2369
825	11186	2356
826	11200	2342
827	11213	2329
828	11228	2316
829	11242	2302
830	11256	2289
831	11272	2276
832	11285	2262
833	11298	2248
834	11313	2235
835	11327	2222
836	11342	2208
837	11356	2195
838	11370	2181
839	11383	2168
840	11396	2154
841	11410	2141
842	11424	2127
843	11440	2114
844	11455	2101
845	11470	2087
846	11482	2074
847	11496	2060
848	11511	2047
849	11524	2033
850	11538	2020
851	11554	2007
852	11574	1994
853	11588	1981
854	11603	1967
855	11617	1954
856	11630	1940
857	11645	1927
858	11660	1913
859	11675	1900
860	11691	1887
861	11706	1874
862	11720	1860
863	11736	1847
864	11753	1834
865	11768	1820
866	11784	1807
867	11800	1794
868	11814	1781
869	11826	1767
870	11839	1753
871	11858	1740
872	11872	1727
873	11886	1713
874	11901	1700
875	11918	1687
876	11933	1673
877	11947	1660
878	11959	1646
879	11972	1632
880	11984	1618
881	11998	1605
882	12010	1591
883	12022	1577
884	12035	1563
885	12048	1550
886	12061	1536
887	12075	1523
888	12089	1509
889	12104	1496
890	12117	1482
891	12130	1468
892	12142	1454
893	12156	1441
894	12170	1427
895	12182	1414
896	12196	1400
897	12210	1386
898	12223	1373
899	12236	1359
900	12248	1345
901	12262	1332
902	12277	1318
903	12291	1305
904	12304	1291
905	12315	1277
906	12328	1264
907	12342	1250
908	12354	1236
909	12367	1223
910	12382	1209
911	12395	1196
912	12408	1182
913	12422	1168
914	12435	1155
915	12450	1141
916	12462	1128
917	12475	1114
918	12488	1100
919	12501	1087
920	12515	1073
921	12527	1059
922	12541	1046
923	12553	1032
924	12566	1018
925	12581	1005
926	12593	991
927	12605	978
928	12618	964
929	12631	950
930	12643	937
931	12657	923
932	12673	910
933	12685	896
934	12698	882
935	12710	869
936	12722	855
937	12737	841
938	12750	828
939	12764	814
940	12777	801
941	12790	787
942	12802	773
943	12814	760
944	12827	746
945	12840	732
946	12853	719
947	12866	705
948	12881	692
949	12895	678
950	12909	665
951	12926	651
952	12940	638
953	12952	624
954	12964	610
955	12979	597
956	12992	583
957	13004	570
958	13017	556
959	13029	542
960	13042	529
961	13056	515
962	13074	502
963	13087	488
964	13101	475
965	13114	461
966	13127	447
967	13140	434
968	13154	420
969	13169	407
970	13182	393
971	13196	380
972	13211	366
973	13226	353
974	13239	339
975	13252	325
976	13265	312
977	13277	298
978	13289	285
979	13309	271
980	13323	258
981	13336	244
982	13351	230
983	13364	217
984	13377	203
985	13390	190
986	13403	176
987	13417	162
988	13431	149
989	13444	135
990	13457	122
991	13472	108
992	13486	95
993	13499	81
994	13511	67
995	13525	54
996	13537	40
997	13549	27
998	13564	13
999	13576	0
